"","Estimate","SE","Tvalue","minus2ll","AIC","BIC"
"1",-0.190270283439063,0.0775655677055359,-2.45302508661306,3363.30620044632,3385.30620044632,3451.37624369048
"2",-1.29625038418869,0.0930081370798823,-13.9369567533148,3363.30620044632,3385.30620044632,3451.37624369048
"3",0.0177434404510465,0.0785128297099015,0.225994153014317,3363.30620044632,3385.30620044632,3451.37624369048
"4",3.6790551171829,0.668214774766685,5.50579732162835,3363.30620044632,3385.30620044632,3451.37624369048
"5",0.261026623308669,0.101411298571565,2.57394025109011,3363.30620044632,3385.30620044632,3451.37624369048
"6",-0.227808436095895,0.0995531482590344,-2.28830971274905,3363.30620044632,3385.30620044632,3451.37624369048
"7",1.61213230125788,0.137512845423627,11.723503330118,3363.30620044632,3385.30620044632,3451.37624369048
"8",3.12287249962526,0.683035616672137,4.57204928030021,3363.30620044632,3385.30620044632,3451.37624369048
"9",25.2150510491748,NA,NA,3363.30620044632,3385.30620044632,3451.37624369048
"10",-101.542150626686,NA,NA,3363.30620044632,3385.30620044632,3451.37624369048
"11",-75.4888405188641,NA,NA,3363.30620044632,3385.30620044632,3451.37624369048
