"","Estimate","SE","Tvalue","minus2ll","AIC","BIC"
"1",2.19350877523946,0.28996550872369,7.56472307652862,3178.9554906495,3200.9554906495,3267.02553389366
"2",-0.409905860817308,0.145275382789988,-2.82157825328103,3178.9554906495,3200.9554906495,3267.02553389366
"3",0.0337287033902876,0.266072763994398,0.126764960396314,3178.9554906495,3200.9554906495,3267.02553389366
"4",-0.959628479792034,0.172182142911345,-5.57333335249603,3178.9554906495,3200.9554906495,3267.02553389366
"5",-2.23952773169643,0.34979991566323,-6.40231066794347,3178.9554906495,3200.9554906495,3267.02553389366
"6",-0.590858161637463,0.161774797063383,-3.65234988615667,3178.9554906495,3200.9554906495,3267.02553389366
"7",-0.112482329444069,0.304916744596021,-0.368895219556064,3178.9554906495,3200.9554906495,3267.02553389366
"8",-1.14533925540598,0.190610595058419,-6.00879114329903,3178.9554906495,3200.9554906495,3267.02553389366
"9",-0.0562072533686031,0.0746851294288079,-0.752589622572477,3178.9554906495,3200.9554906495,3267.02553389366
"10",-1.40711066254898,0.0849781031255527,-16.5585087310082,3178.9554906495,3200.9554906495,3267.02553389366
"11",-0.062541291013956,0.0680665119925112,-0.91882614788366,3178.9554906495,3200.9554906495,3267.02553389366
